"link","Pje_Total_BP_en_RC"
"064279112",0.03
"064279201",0.08
"064279202",0
"064279205",0.03
"064279206",0.34
"064279207",1
"064279208",0.99
"064279209",0.43
"064279210",0.5
"064279211",0.02
"064279219",0.02
"064279301",0.48
"064279302",1
"064279303",0.8
"064279304",0.15
"064279305",0.17
"064279307",0.19
"064279308",0.11
"064279314",0.15
"064279315",0.84
"064279406",0.1
"064279407",0.08
"064279408",0.01
"064279409",0.01
"064279410",0
"064279505",0.72
"064279506",0.79
"064279601",0.4
"064279602",0.89
"064279603",0.78
"064279605",0
"064279607",0
"064279610",0
"064279612",0.67
"064279613",0.6
"064279614",0.08
"064279615",0.16
"064279702",0.02
"064279707",0.05
"064279708",0
"064279712",0.06
"064279714",0.02
"064279716",0.01
"064279717",0.31
"064279720",0.3
"064279721",0.83
"064279722",0.7
"064279723",0.31
"064340101",0.14
"064340107",0.01
"064340602",0
"064340701",1
"064340702",0.01
"064340704",0
"064340705",1
"064340706",0.01
"064340707",0.23
"064340711",0.01
"064340804",0
"064340808",0.87
"064340809",0.91
"064340810",0.76
"064340811",0
"064340915",0
"064340916",0
"064340917",0.35
"064340918",0.18
"064341001",0.1
"064341103",0
"064342201",0.06
"064342202",0.93
"064342203",0.04
"064342207",0.07
"064342208",0.09
"064342209",0.47
"064342210",0
"064342212",0.01
"064342301",0.12
"064342302",0.96
"064342303",0.98
"064342304",0.33
"064342305",0.89
"064342306",0.68
"064342307",0.12
"064342308",1
"064342309",1
"064342310",1
"064342311",0.99
"064342312",0.8
"064342313",0.05
"064342314",1
"064342315",1
"064342514",0
"064342515",0.03
"064342518",0.01
"064342601",0.51
"064342602",0.97
"064342603",0.12
"064342604",0.99
"064342605",0.99
"064342606",0.97
"064342607",1
"064342608",0.99
"064342609",0.99
"064342610",0.95
"064342611",1
"064342612",0.97
"064342614",0
"064342615",0.01
"064342616",1
"064342617",1
"064342618",1
"064342619",1
"064342704",0.22
"064342709",0.49
"064342710",0.99
"064342801",0.3
"064342802",0.4
"064342803",0.39
"064342804",0
"064342814",0.01
"064343308",0
"064343412",0
"064343414",0.47
"064343504",0.49
"064343505",0.02
"064343508",0.68
"064343509",0.03
"064343909",0.31
"064344405",0.31
"064344406",0.95
"064413009",0.16
"064413101",0.02
"064413102",0.03
"064413207",0
"064413208",0.08
"064413209",0.05
"064413210",0
"064413306",0
"064413307",0
"064413403",0.05
"064413412",0
"064413413",0.17
"064413414",0
"064413415",0.03
"064413509",0.14
"064413513",0.04
"064413514",0.01
"064413515",0.46
"064413516",0.75
"064413605",0.14
"064413606",0.32
"064413607",0.16
"064413609",0
"064413611",0.01
"064413701",0.01
"064413702",0.5
"064413703",0.69
"064413704",0.72
"064413705",0.75
"064413706",0.08
"064413708",0.07
"064413710",0.35
"064413711",0.08
"064413712",0.05
"064413713",0.04
"064413714",0.02
"064413801",0
"064413802",0.41
"064413803",0.62
"064413804",0.65
"064413806",0.01
"064413807",0
"064413808",0.41
"064413809",0.1
"064413810",0.02
"064413910",0.12
"064414002",0.2
"064414007",0.06
"064414008",0.03
"064414009",0.13
"064414010",0.15
"064414011",0.07
"064414012",0.1
"064414013",0.05
"064414101",0.36
"064414102",0.2
"064414103",0.66
"064414105",0.1
"064414107",0
"064414108",0.05
"064414109",0.25
"064414110",0.39
"064414111",0.01
"064414112",0
"064414201",0.65
"064414202",0.13
"064414203",0.08
"064414206",0.44
"064414207",0.26
"064414208",0
"064414209",0.16
"064414210",0.18
"064414212",0.02
"064414213",0
"064414214",0.14
"064414215",0.21
"064414216",0.05
"064414218",0.03
"064414219",0.14
"064414304",0
"064414310",0.18
"064414311",0.2
"064414312",0.18
"064414313",0.25
"064414314",0.16
"064414315",0.13
"064414402",0.06
"064414409",0.13
"064414410",0.21
"064414504",0.22
"064414505",0.02
"064414506",0.09
"064414507",0.1
"064414508",0.26
"064414509",0.94
"064414510",0.02
"064414601",0.02
"064414602",0.14
"064414605",0.01
"064414606",0.03
"064414609",0.03
"064414703",0.09
"064414706",0.04
"064414707",0.34
"064414709",0.07
"064414710",0.01
"064414806",0.27
"064415101",0.13
"064415102",0.27
"064415116",0.11
"064415201",0.09
"064415204",0.06
"064415205",0.06
"064415207",0.11
"064415208",0.14
"064415305",0.2
"064415306",0.04
"064415310",0.11
"064415401",0.01
"064415405",0.01
"064415415",0.25
"064415416",0.03
"064415501",0.16
"064415502",0.04
"064415503",0.1
"064415510",0.01
"064415511",0.02
"064415606",0.01
"064415703",0
"064415705",0
"064415706",0
"064415707",0.1
"064415709",0.01
"064415710",0.06
"064415907",0.02
"064415908",0.03
"064416001",0.02
"064416004",0
"064416005",0.21
"064416007",0.12
"064416008",0
"064416009",0.11
"064416106",0
"064416108",0
"064416109",0.02
"064416112",0.05
"064416212",0
"064416213",0.22
"064416304",0
"064416402",0.01
"064416403",0.02
"064416404",0.22
"064416405",0.57
"064416408",0
"064416409",0.04
"064416410",0
"064416411",0.16
"064416413",0
"064416415",0.05
"064416416",0.05
"064416417",0.01
"064416501",0
"064416502",0.03
"064416503",0
"064416504",0.08
"064416505",0.31
"064416506",0.44
"064416510",0
"064416514",0.01
"064416519",0.01
"064416520",0.01
"064416601",0.14
"064416603",0.01
"064416604",0.01
"064416605",0
"064416606",0.48
"064416607",0.02
"064416608",0
"064416613",0
"064416614",0.01
"064416615",0.01
"064416617",0.01
"064416618",0
"064416801",0.02
"064416802",0.06
"064416803",0.06
"064416806",0.1
"064416814",0
"064416901",0.36
"064416902",0.24
"064416903",0.15
"064416905",0.05
"064416906",0.09
"064416907",0.51
"064416908",0.46
"064416909",0.09
"064416910",0.18
"064416911",0.48
"064416912",0
"064417001",0.07
"064417002",0.05
"064417003",0
"064417004",0
"064417005",0.02
"064417006",1
"064417007",0
"064550107",0.02
"064690114",0.08
"064690208",0.09
"064690210",0.01
"064690604",0.09
"064690605",0
"064690606",0
"064830101",0.03
"064830114",0.05
"064830115",0.03
"064830401",0
"064830405",0.03
"064830409",0.03
"064830413",0
"064830501",0.05
"064900101",0.17
"064900102",0.52
"064900103",0.76
"064900104",0.97
"064900105",0.91
"064900106",0.97
"064900107",0.97
"064900108",0.99
"064900109",0.96
